State,County,Link,"Page Accessible","Portal Vendor",Notes
Alabama,alacourt.com,http://www.alacourt.gov/,Y,,
,"Just One Look",https://pa.alacourt.com/,Y,,
Alaska,CourtView,https://records.courts.alaska.gov/eaccess/home.page.2,Y,"equivant / CourtView Justice Solutions",
,"Appellate Courts Case Management System",https://appellate-records.courts.alaska.gov/CMSPublic/Search,Y,,"404 error. Link needs updating"
Arizona,"Public Access to Court Case Information",https://apps.supremecourt.az.gov/publicaccess/caselookup.aspx?AspxAutoDetectCookieSupport=1,N,,
,"Maricopa County (Superior) Public Access to Court Information",http://www.superiorcourt.maricopa.gov/docket/index.asp,Y,,
,"Pima County (Superior)",http://www.agave.cosc.pima.gov/PublicDocs/,Y,,
,"Chandler (Municipal) Court Case Search (non-delinquent cases)",https://www.chandleraz.gov/residents/chandler-municipal-court/court-case-search,Y,,
,"Mesa (Municipal)",https://ecourt.mesaaz.gov/,Y,,
,"Tempe (Municipal)",https://courtfines.tempe.gov/tpc/,Y,,
,"Pima (Consolidated Justice)",http://www.jp.pima.gov/Records/Records.html,Y,,
,"Prescott (Justice of the Peace & Municipal)",http://71.216.160.127/csp/pcc/csp1.csp,N,,
Arkansas,"Supreme Court and Court of Appeals Docket Search",https://caseinfo.aoc.arkansas.gov/cconnect/PROD/public/ck_public_qry_main.cp_main_idx,Y,,
,CourtConnect,https://courts.arkansas.gov/administration/acap/courtconnect,N,,
,"Sebastian County (District) Fort Smith Division.",http://www.districtcourtfortsmith.org/Online%20Services.html,Y,,
California,"Appellate Courts Case Information System",http://appellatecases.courtinfo.ca.gov/,Y,,
,"Alameda Superior",https://publicrecords.alameda.courts.ca.gov/PRS/,Y,,
,"Amador Superior",http://www.amadorcourt.org/dv-SearchNow.aspx,Y,,
,"Butte Superior",http://www.buttecourt.ca.gov/online_index/default.cfm,Y,,
,"Calaveras Superior",https://cacalaverasportal.tylerhost.net/Portal/Home/Dashboard/29,N,"Tyler Technologies",
,"Colusa Superior",http://cms.colusa.courts.ca.gov/,Y,,
,"Contra Costa Superior",http://www.cc-courts.org/,Y,,
,"Del Norte Superior",http://eldocourtweb.eldoradocourt.org/caseindex/case_index.aspx,Y,,
,"Fresno Superior",https://publicportal.fresno.courts.ca.gov/FRESNOPORTAL/,Y,,
,"Glenn Superior",http://www.glenncourt.ca.gov/online_index/,N,,
,"Kern Superior",https://www.kern.courts.ca.gov/,Y,,
,"Kings Superior",https://www.kings.courts.ca.gov/onlineservices/index.htm,Y,,
,"Lassen Superior",http://www.lassencourt.ca.gov/online_services/casesearch.shtml,Y,,
,"Los Angeles Superior",http://www.lacourt.org/onlineservices/ON0001.aspx,Y,,
,"Marin Superior",http://www.marincourt.org/PublicIndex/Default.aspx,Y,,
,"Mendocino Superior",http://www.mendocino.courts.ca.gov/,Y,,
,"Merced Superior",https://jpportal.mercedcourt.org/mercedprod,Y,,
,"Monterey Superior",https://portal.monterey.courts.ca.gov/,Y,,
,"Nevada Superior",http://eaccess.nevadacountycourts.com/eservices/home.page.2,Y,,
,"Orange Superior",https://ocapps.occourts.org/CourtIndex/,Y,,
,"Riverside Superior",http://www.riverside.courts.ca.gov/publicaccess.shtml,N,,
,"Sacramento Superior",https://services.saccourt.ca.gov/PublicCaseAccess/,Y,,
,"San Bernardino Superior",http://www.sb-court.org/Divisions/Civil/CaseInformationOnline.aspx,Y,,
,"San Diego Superior","http://www.sdcourt.ca.gov/portal/page?_pageid=55,1641155&_dad=portal&_schema=PORTAL",Y,,
,"San Francisco Superior",https://www.sfsuperiorcourt.org/online-services,N,,
,"San Joaquin Superior",https://cms.sjcourts.org/fullcourtweb/mainMenu.do,Y,,
,"San Mateo Superior",http://www.sanmateocourt.org/online_services/online_case_access.php,Y,,
,"Santa Barbara Superior",http://www.sbcourts.org/os/cal/court-calendars-index.php,Y,,
,"Santa Clara Superior",http://www.scscourt.org/online_services/case_info.shtml,Y,,
,"Santa Cruz Superior",http://www.santacruzcourt.org/online-services,Y,,
,"Shasta Superior",http://caselookup.shasta.courts.ca.gov:8080/cgi-bin/webcase01r,Y,,
,"Solano Superior",http://courtconnect.solano.courts.ca.gov/courtconnect/ck_public_qry_main.cp_main_idx,Y,,
,"Sonoma Superior",http://sonoma.courts.ca.gov/online-services,Y,,
,"Stanislaus Superior",http://www.stanct.org/case-index-lookup,Y,,
,"Tulare Superior",http://www.tularesuperiorcourt.ca.gov/index.php?section=online-services,Y,,
,"Ventura Superior",http://www.ventura.courts.ca.gov/case-inquiry.html,Y,,
Colorado,"Colorado Judiciary Court Docket Search",https://www.courts.state.co.us/dockets/,Y,,
Connecticut,"Case Look-up",http://www.jud.ct.gov/jud2.htm,Y,,
Delaware,"Virtual Docket.",http://www.virtualdocket.com/,Y,,
"Federal Courts","Case Management/Electronic Case Files (CM/ECF) system",https://www.pacer.gov/cmecf/,Y,,
Florida,"Supreme Court Online Docket",http://jweb.flcourts.org/pls/docket/ds_docket_search%20,N,,
,"District Courts of Appeal Online Docket",http://www.flcourts.org/florida-courts/district-court-appeal.stml,Y,,
,"Online Court Records Search for Circuit and County Courts in 35 of state's 67 counties (Baker, Bradford, Calhoun, Columbia, Desoto, Dixie, Franklin, Gilchrist, Glades, Gulf, Hamilton, Hardee, Hendry, Hernando, Highlands, Holmes, Jackson, Jefferson, Lafayette, Liberty, Madison, Marion, Martin, Nassau, Okeechobee, Pasco, Polk, Putnam, Santa Rosa, Sumter, Taylor, Union, Wakulla, Walton, Washington)",https://www.civitekflorida.com/ocrs/county/index.xhtml,N,,
,"Alachua County",https://www.alachuaclerk.org/court_records/index.cfm?section=login&r=942850&CFID=11569268&CFTOKEN=32209044,N,,
,"Bay County",https://court.baycoclerk.com/BenchmarkWeb2/Home.aspx/Search,Y,,
,"Brevard County",http://brevardclerk.us/public-records-search,Y,,
,"Broward County",http://www.clerk-17th-flcourts.org/Web2,N,,
,"Charlotte County",https://courtsweb.co.charlotte.fl.us/BenchmarkWeb/Home.aspx/Search,N,,
,"Citrus County",http://www.clerk.citrus.fl.us/courts/search,N,,
,"Clay County",http://www.clayclerk.com/case-search/,N,,
,"Collier County",https://www.collierclerk.com/records-search,Y,,
,"Duval County",https://core.duvalclerk.com/,N,,
,"Escambia County",http://www.escambiaclerk.com/xml/xml_web_1a.asp,N,,
,"Flagler County",https://apps.flaglerclerk.com/Benchmark/Home.aspx/Search,N,,
,"Gadsden County",https://www.gadsdenclerk.com/CourtScribePublicInquiry/,Y,,
,"Hillsborough County",http://pubrec10.hillsclerk.com/Unsecured/default.aspx,N,,
,"Indian River County",https://court.indian-river.org/BenchmarkWeb/Home.aspx/Search,Y,,
,"Lake County",http://www.lakecountyclerk.org/record_searches/court_records_agreement.aspx,Y,,
,"Lee County",https://www.leeclerk.org/courts/court-case-records,Y,,
,"Leon County",https://cvweb.clerk.leon.fl.us/public/clerk_services/online_searches/search_courts/search_by_name.asp,N,,
,"Levy County",http://benchmark.levyclerk.com/BenchmarkWeb/Home.aspx/Search,N,,
,"Manatee County",http://www.manateeclerk.com/searches.aspx,N,,
,"Miami-Dade County",http://www.miami-dadeclerk.com/online_services.asp,Y,,
,"Monroe County",https://gov.propertyinfo.com/fl-monroe/SearchType.asp,N,,
,"Okaloosa County",http://clerkapps.okaloosaclerk.com/benchmarkweb2/Home.aspx/Search,Y,,
,"Orange County",https://myeclerk.myorangeclerk.com/,Y,,
,"Osceola County",https://courts.osceolaclerk.org/BenchmarkWeb/Home.aspx/Search,N,,
,"Palm Beach County",http://www.mypalmbeachclerk.com/courtrecords.aspx,N,,
,"Pinellas County",https://public.co.pinellas.fl.us/login/loginx.jsp,Y,,
,"St. Johns County",https://stjohnsclerk.com/records/,Y,,
,"St. Lucie County",https://courtcasesearch.stlucieclerk.com/BenchmarkWebExternal/Home.aspx/Search,Y,,
,"Sarasota County",http://www.sarasotaclerk.com/,Y,,
,"Seminole County",http://www.seminoleclerk.org/,N,,
,"Suwannee County",http://www.suwgov.org/index.php/courts,Y,,
,"Volusia County",https://app02.clerk.org/ccms/?AspxAutoDetectCookieSupport=1,Y,,
,"Ventura Superior",http://www.ventura.courts.ca.gov/case-inquiry.html,Y,,
Georgia,"Cobb County (Superior)",https://www.cobbsuperiorcourtclerk.com/courts/,Y,,
,"Gwinnett County (Superior, State, and Magistrate Courts)",http://www.gwinnettcourts.com/,Y,,
Hawaii,"eCourt Kokua",http://www.courts.state.hi.us/legal_references/records/jims_system_availability.html,Y,,
,Ho`ohiki,http://www.courts.state.hi.us/legal_references/records/hoohiki_disclaimer.html,Y,,
Idaho,"Idaho iCourt Portal",https://mycourts.idaho.gov/,N,,
Illinois,Judici.,https://www.judici.com/courts/illinois_courts.jsp,Y,,
,"Cook County (Circuit)",http://www.cookcountyclerkofcourt.org/?section=CASEINFOPage&CASEINFOPage=2400,Y,,
,"DeKalb County (Circuit)",http://circuitclerk.org/online-records.html,Y,,
,"DuPage County (Circuit)",https://www.dupagecase.com/Clerk/allsearch.do,N,,
,"Kane County (Circuit)",http://www.cic.co.kane.il.us/Pages/Online-Court-Records.aspx,Y,,
,"Kendall County (Circuit)",https://www.co.kendall.il.us/offices/circuit-clerk/online-court-records,Y,,
,"Lake County (Circuit)",https://circuitclerk.lakecountyil.gov/publicAccess/html/common/index.xhtml,Y,,
Indiana,"Indiana Court Records Online",https://mycase.in.gov/default.aspx,N,,
,"Doxpop Court Cases",http://www.doxpop.com/prod/court/,Y,,
Iowa,"Iowa Courts Online.",https://www.iowacourts.state.ia.us/ESAWebApp//DefaultFrame,Y,,
Kansas,"Appellate Case Inquiry System",http://www.kscourts.org/inquiry-system.asp,Y,,
,"District Court Records Search",https://www.kansas.gov/countyCourts/,Y,,
Kentucky,"Supreme Court Docket Search",http://apps.courts.ky.gov/supreme/sc_dockets.shtm,N,,
,"Court of Appeals Docket Search",http://apps.courts.ky.gov/Appeals/COA_Dockets.shtm,N,,
